                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.8016,                 2.2904,                 2.6734,                0.58743,                0.71053,                0.59212,                0.38512,                 1.8986,                 2.2453,                 3.1174,              0.0006008,              0.0006008,              0.0006008
                     55,                  2.069,                 2.3443,                 2.7893,                0.53117,                0.71053,                0.58625,                0.36499,                 1.8509,                 2.1864,                 2.9879,              0.0005744,              0.0005744,              0.0005744
                     56,                 1.8801,                 2.3199,                 2.6682,                0.73254,                0.64886,                0.69106,                0.40446,                 1.7738,                 2.1615,                 2.9023,               0.000548,               0.000548,               0.000548
                     57,                 1.8991,                 2.2331,                  2.643,                0.73254,                0.64886,                0.69106,                0.40446,                 1.7738,                 2.1615,                 2.9023,              0.0005216,              0.0005216,              0.0005216
                     58,                 1.8827,                 2.3417,                 2.7083,                0.54273,                0.56237,                0.56728,                 0.2929,                  1.793,                 2.1899,                 2.9294,              0.0004952,              0.0004952,              0.0004952
                     59,                 1.9416,                 2.3169,                 2.6639,                0.49235,                0.53613,                0.51634,                0.24944,                 1.8378,                 2.1881,                  2.936,              0.0004688,              0.0004688,              0.0004688
                     60,                  1.703,                 2.0706,                  2.507,                0.57869,                    0.5,                0.55218,                 0.2751,                  1.811,                 2.1747,                 2.8895,              0.0004424,              0.0004424,              0.0004424
                     61,                  1.773,                 2.1626,                 2.5519,                0.57869,                    0.5,                0.55218,                 0.2751,                  1.811,                 2.1747,                 2.8895,               0.000416,               0.000416,               0.000416
                     62,                 1.7525,                 2.1525,                 2.5998,                0.60355,                0.68421,                0.63133,                0.34172,                 1.7362,                 2.1045,                 2.8003,              0.0003896,              0.0003896,              0.0003896
                     63,                  1.995,                 2.2131,                 2.6368,                0.67935,                0.73684,                   0.68,                0.40512,                 1.6176,                 2.0374,                 2.7138,              0.0003632,              0.0003632,              0.0003632
                     64,                 1.8516,                 2.1364,                  2.564,                0.71978,                0.67611,                 0.7042,                0.44744,                 1.5331,                  2.037,                 2.6519,              0.0003368,              0.0003368,              0.0003368
                     65,                 1.7843,                  2.182,                 2.5086,                0.71978,                0.67611,                 0.7042,                0.44744,                 1.5331,                  2.037,                 2.6519,              0.0003104,              0.0003104,              0.0003104
                     66,                 1.4738,                 2.8617,                 2.5247,                0.73693,                 0.6636,                0.68285,                0.45021,                 1.4792,                 2.0605,                  2.613,               0.000284,               0.000284,               0.000284
                     67,                 1.5113,                 2.7877,                 2.6686,                0.76271,                0.67685,                0.70235,                0.46786,                 1.4349,                 2.0962,                 2.5736,              0.0002576,              0.0002576,              0.0002576
                     68,                 1.6101,                 2.6817,                 2.6257,                0.75907,                0.66341,                0.71631,                0.49271,                 1.3852,                  2.112,                 2.5215,              0.0002312,              0.0002312,              0.0002312
                     69,                 1.4464,                  2.457,                 2.6228,                0.75907,                0.66341,                0.71631,                0.49271,                 1.3852,                  2.112,                 2.5215,              0.0002048,              0.0002048,              0.0002048
                     70,                 1.4338,                 2.5106,                 2.4873,                0.69489,                0.65931,                0.72466,                0.50187,                  1.336,                 2.1494,                 2.4774,              0.0001784,              0.0001784,              0.0001784
                     71,                 1.3805,                 2.4388,                  2.459,                0.72425,                0.71053,                0.76084,                0.52065,                 1.3093,                 2.1615,                 2.4574,               0.000152,               0.000152,               0.000152
                     72,                 1.4174,                 2.5858,                 2.5116,                0.80411,                0.75629,                0.82706,                0.55226,                 1.2834,                  2.129,                 2.4129,              0.0001256,              0.0001256,              0.0001256
                     73,                 1.5222,                 2.5178,                 2.5809,                0.80411,                0.75629,                0.82706,                0.55226,                 1.2834,                  2.129,                 2.4129,               9.92e-05,               9.92e-05,               9.92e-05
                     74,                 1.3373,                 2.2967,                 2.4821,                0.81313,                0.80171,                0.85276,                0.56227,                 1.2774,                  2.101,                 2.3836,               7.28e-05,               7.28e-05,               7.28e-05
                     75,                 1.5176,                   2.37,                 2.5197,                0.83523,                0.80057,                0.86407,                0.56345,                 1.2716,                 2.0813,                 2.3605,               4.64e-05,               4.64e-05,               4.64e-05
