                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.41448,                0.60578,                 1.0474,                0.90144,                0.91463,                0.95392,                0.88237,                0.37312,                 0.6167,                 0.9891,               0.000548,               0.000548,               0.000548
                     57,                0.33991,                0.58913,                 1.0344,                 0.8996,                0.92683,                0.96203,                0.87909,                0.39408,                0.60988,                  1.011,              0.0005216,              0.0005216,              0.0005216
                     58,                0.39331,                0.62792,                 1.0452,                0.89349,                0.92076,                 0.9579,                 0.8798,                0.40432,                0.62777,                 1.0186,              0.0004952,              0.0004952,              0.0004952
                     59,                0.42366,                0.61494,                 1.0923,                0.91425,                0.90244,                0.95236,                0.89248,                0.37958,                0.59883,                0.98439,              0.0004688,              0.0004688,              0.0004688
                     60,                0.37311,                0.54994,                 1.0206,                0.90217,                0.89967,                0.95563,                0.89374,                0.36983,                0.57298,                0.97161,              0.0004424,              0.0004424,              0.0004424
                     61,                0.37916,                 0.5882,                 1.0329,                0.91308,                 0.8968,                0.95732,                 0.8974,                0.36249,                0.55117,                0.96593,               0.000416,               0.000416,               0.000416
                     62,                0.38104,                0.54869,                 1.0586,                0.92478,                0.89962,                 0.9647,                0.90821,                0.34103,                0.52417,                0.95311,              0.0003896,              0.0003896,              0.0003896
                     63,                0.36051,                0.53971,                 1.0339,                0.94987,                0.87805,                0.96974,                0.92119,                0.32058,                0.52656,                0.93987,              0.0003632,              0.0003632,              0.0003632
                     64,                0.38629,                0.55744,                  1.037,                0.94215,                0.89024,                0.97619,                0.93377,                0.31631,                0.50932,                0.93646,              0.0003368,              0.0003368,              0.0003368
                     65,                0.32826,                0.53989,                 1.0432,                 0.9156,                 0.9261,                0.97585,                0.93233,                0.31795,                0.50589,                0.93873,              0.0003104,              0.0003104,              0.0003104
                     66,                 0.4281,                 1.3655,                 1.1531,                 0.9258,                0.91292,                0.97614,                0.92829,                0.33025,                0.53102,                0.95453,               0.000284,               0.000284,               0.000284
                     67,                0.41726,                 1.0617,                 1.1737,                0.92309,                0.90244,                0.97013,                0.92618,                  0.326,                0.55637,                0.95465,              0.0002576,              0.0002576,              0.0002576
                     68,                0.39238,                0.78014,                  1.201,                 0.9235,                0.88338,                0.96717,                0.92823,                0.32558,                0.55035,                0.95537,              0.0002312,              0.0002312,              0.0002312
                     69,                0.30178,                 0.6493,                 1.0999,                0.89269,                0.91306,                0.96665,                0.91851,                0.33746,                0.54856,                0.96687,              0.0002048,              0.0002048,              0.0002048
                     70,                 0.3992,                0.73898,                 1.1786,                0.87722,                0.95845,                0.97004,                0.92052,                0.33716,                0.55925,                0.96734,              0.0001784,              0.0001784,              0.0001784
                     71,                0.33904,                 0.7087,                 1.0747,                0.88254,                0.96341,                 0.9759,                0.92353,                0.33368,                0.58382,                0.96653,               0.000152,               0.000152,               0.000152
                     72,                0.35974,                0.70358,                 1.1157,                0.88717,                0.96341,                0.97828,                0.93115,                0.32864,                0.58962,                0.95571,              0.0001256,              0.0001256,              0.0001256
                     73,                0.37359,                0.69548,                 1.1499,                0.89497,                0.96341,                0.97796,                0.92837,                0.32551,                0.58483,                0.95023,               9.92e-05,               9.92e-05,               9.92e-05
                     74,                0.33104,                0.69657,                 1.0717,                0.89386,                0.96341,                0.97802,                0.92935,                0.32303,                0.57433,                 0.9441,               7.28e-05,               7.28e-05,               7.28e-05
                     75,                0.28405,                0.59058,                 1.0179,                0.88823,                0.96918,                0.97776,                0.93331,                0.31256,                0.55766,                0.93436,               4.64e-05,               4.64e-05,               4.64e-05
