frames,Confidence,Ymin,Xmin,Ymax,Xmax
343,0,0,0,0,0
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,59,1,449,467,620
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,0,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,0
372,0,0,0,0,0
373,0,0,0,0,0
374,0,0,0,0,0
375,59,1,456,467,621
376,56,1,268,475,509
377,0,0,0,0,0
378,56,2,341,480,534
379,66,1,1,474,163
380,78,1,28,478,264
381,78,1,28,478,264
382,0,0,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,71,1,190,471,390
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,62,1,14,462,178
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,0
416,0,0,0,0,0
417,0,0,0,0,0
418,0,0,0,0,0
419,53,2,106,480,279
420,0,0,0,0,0
421,0,0,0,0,0
422,0,0,0,0,0
423,0,0,0,0,0
424,56,1,69,478,283
425,53,7,60,477,263
426,0,0,0,0,0
427,0,0,0,0,0
428,0,0,0,0,0
429,0,0,0,0,0
430,0,0,0,0,0
431,0,0,0,0,0
432,0,0,0,0,0
433,0,0,0,0,0
434,0,0,0,0,0
435,0,0,0,0,0
436,0,0,0,0,0
437,0,0,0,0,0
438,0,0,0,0,0
439,0,0,0,0,0
440,0,0,0,0,0
441,0,0,0,0,0
442,0,0,0,0,0
443,0,0,0,0,0
444,62,18,462,480,635
445,0,0,0,0,0
446,56,1,17,476,210
447,56,1,421,471,605
448,0,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,0
451,0,0,0,0,0
452,0,0,0,0,0
453,0,0,0,0,0
454,0,0,0,0,0
455,0,0,0,0,0
456,56,1,234,447,407
457,59,1,220,458,405
458,66,1,236,447,415
459,0,0,0,0,0
460,56,1,226,447,406
461,0,0,0,0,0
462,0,0,0,0,0
462,56,1,213,447,386
463,66,1,27,476,234
464,66,1,19,462,186
464,62,4,406,472,603
465,62,4,406,472,603
466,53,1,62,478,293
467,0,0,0,0,0
468,66,1,13,475,261
469,86,1,186,476,458
470,78,1,26,478,309
471,68,1,13,476,240
472,68,1,23,471,250
473,56,1,19,476,212
474,53,11,183,480,423
475,0,0,0,0,0
476,0,0,0,0,0
477,66,1,24,476,198
477,53,1,238,480,434
478,74,1,8,458,188
478,53,1,217,462,435
479,56,1,8,467,176
479,53,1,217,462,435
480,59,1,15,476,198
481,68,1,18,471,204
482,56,1,25,444,205
483,0,0,0,0,0
484,66,1,30,453,210
485,66,1,17,453,184
486,59,1,21,453,189
487,0,0,0,0,0
488,59,1,9,450,164
489,66,1,17,386,165
490,56,1,12,458,170
491,66,1,13,369,169
492,62,1,9,443,167
493,62,1,10,439,163
494,56,1,8,443,158
495,56,1,9,446,154
496,62,1,5,450,147
497,56,1,3,455,143
498,56,1,4,458,149
499,0,0,0,0,0
500,53,1,1,463,138
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,53,1,2,463,141
507,0,0,0,0,0
508,0,0,0,0,0
509,0,0,0,0,0
510,0,0,0,0,0
511,0,0,0,0,0
512,0,0,0,0,0
513,0,0,0,0,0
514,0,0,0,0,0
515,0,0,0,0,0
516,59,1,467,478,634
517,53,4,446,472,614
518,0,0,0,0,0
519,0,0,0,0,0
520,0,0,0,0,0
521,0,0,0,0,0
522,0,0,0,0,0
523,62,1,14,471,191
524,56,1,16,471,189
525,53,1,18,466,204
526,0,0,0,0,0
527,0,0,0,0,0
528,0,0,0,0,0
529,0,0,0,0,0
530,0,0,0,0,0
531,0,0,0,0,0
532,0,0,0,0,0
533,0,0,0,0,0
534,0,0,0,0,0
535,0,0,0,0,0
536,0,0,0,0,0
537,0,0,0,0,0
538,0,0,0,0,0
539,0,0,0,0,0
540,0,0,0,0,0
541,0,0,0,0,0
542,0,0,0,0,0
543,0,0,0,0,0
544,0,0,0,0,0
544,0,0,0,0,0
545,0,0,0,0,0
546,0,0,0,0,0
547,0,0,0,0,0
548,0,0,0,0,0
549,0,0,0,0,0
550,0,0,0,0,0
551,0,0,0,0,0
552,0,0,0,0,0
553,0,0,0,0,0
554,0,0,0,0,0
555,0,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,0
558,0,0,0,0,0
559,0,0,0,0,0
560,0,0,0,0,0
561,0,0,0,0,0
562,0,0,0,0,0
563,0,0,0,0,0
564,0,0,0,0,0
565,0,0,0,0,0
566,0,0,0,0,0
567,59,8,5,453,145
568,0,0,0,0,0
569,0,0,0,0,0
570,0,0,0,0,0
571,68,2,31,474,236
572,74,1,12,476,206
573,0,0,0,0,0
574,78,1,18,476,230
575,80,1,23,476,255
576,82,1,13,476,213
577,68,14,8,480,227
578,59,19,11,480,194
579,78,1,11,476,207
580,74,5,20,480,203
581,76,5,13,480,213
582,71,10,15,480,195
583,62,14,15,480,195
584,62,14,21,480,197
585,68,10,18,480,195
586,68,14,19,480,199
587,74,10,13,480,196
588,71,10,17,480,188
589,68,10,22,480,196
590,71,10,19,480,190
591,71,5,20,480,194
592,68,10,19,480,199
593,74,5,20,480,203
594,68,10,23,480,200
595,71,10,16,480,193
596,71,10,16,480,193
597,74,10,15,480,198
598,68,10,18,480,195
599,68,10,19,480,190
600,68,14,16,480,193
601,68,10,18,480,192
602,68,10,16,480,189
603,66,19,18,480,192
604,68,10,18,480,195
605,71,10,15,480,198
606,71,14,14,480,191
607,71,10,16,480,193
608,66,5,15,480,186
609,80,1,8,476,205
610,68,1,14,476,178
611,0,0,0,0,0
612,53,1,11,480,158
613,56,1,12,480,154
614,0,0,0,0,0
615,0,0,0,0,0
616,0,0,0,0,0
617,0,0,0,0,0
618,0,0,0,0,0
619,71,2,330,476,617
620,0,0,0,0,0
621,59,1,447,471,627
622,62,1,460,471,630
623,66,1,475,474,636
624,59,1,456,467,630
624,53,1,109,470,447
625,71,1,433,467,623
625,62,1,74,478,463
626,71,1,430,476,613
626,66,1,9,480,328
627,68,1,424,476,607
628,74,1,418,467,612
629,78,1,401,476,612
630,76,1,394,476,606
631,76,1,385,478,606
631,66,4,22,480,347
632,74,1,372,478,604
632,59,1,24,480,375
633,80,1,378,476,605
634,80,1,376,476,611
635,76,1,374,476,605
636,74,1,385,471,612
636,53,1,27,467,365
637,80,1,378,476,614
637,74,1,6,480,326
638,78,1,395,471,614
639,76,1,378,476,609
640,71,1,357,471,609
640,68,4,8,479,358
641,66,1,323,461,576
641,53,10,39,480,340
641,53,1,96,476,517
642,76,1,9,476,290
642,68,1,310,462,571
642,53,1,113,476,534
643,68,1,316,466,568
643,66,10,22,474,276
644,82,5,1,480,277
644,66,1,296,470,562
644,53,1,164,445,490
645,80,5,2,480,259
645,62,1,294,466,560
646,78,1,1,476,250
646,59,1,158,449,490
647,68,5,2,480,259
647,56,1,127,471,471
648,59,1,137,471,482
648,56,10,8,480,252
649,68,5,4,480,261
649,56,1,276,445,608
650,59,5,8,480,257
650,56,1,131,471,488
650,53,1,280,432,618
651,62,5,4,480,244
651,59,1,128,471,515
651,53,1,286,445,618
652,66,5,6,480,263
652,62,1,138,475,502
652,53,2,273,443,611
653,62,5,15,480,254
653,56,1,141,475,479
654,66,1,129,471,480
654,59,1,9,480,248
654,53,1,280,434,618
655,62,2,93,474,510
655,59,1,17,476,270
655,53,1,276,447,615
656,66,2,15,474,288
656,59,1,85,476,484
657,66,1,22,478,281
658,62,1,23,476,280
658,53,1,85,470,474
659,62,2,25,474,293
659,59,1,73,472,472
660,56,1,85,474,453
660,53,2,30,474,299
660,53,1,332,445,576
661,62,1,84,476,462
662,66,1,78,478,459
662,53,1,23,471,289
663,62,1,40,439,378
664,53,1,128,466,491
664,53,1,27,427,359
665,56,1,23,432,349
665,53,1,157,464,544
666,66,1,74,478,442
666,53,1,39,466,322
667,68,1,78,470,459
667,53,4,299,466,580
668,74,1,1,476,273
668,66,2,56,474,504
669,84,2,64,474,528
669,62,18,27,475,365
669,59,8,270,473,608
670,80,2,118,474,582
671,86,2,153,474,601
672,80,2,52,474,551
672,76,1,323,480,632
673,78,1,84,476,596
673,76,6,301,478,633
674,80,2,104,474,585
674,71,6,309,478,635
675,86,2,38,474,564
675,74,2,317,474,638
676,80,2,341,474,640
676,78,1,151,480,595
677,76,2,352,466,640
677,66,1,220,480,605
678,68,1,346,476,633
678,62,1,58,480,544
678,56,1,10,478,325
679,62,1,58,480,544
679,56,1,10,478,325
680,66,10,19,480,254
680,56,1,10,478,325
681,56,1,10,478,325
682,56,1,10,478,325
683,56,1,10,478,325
684,56,1,10,478,325
685,0,0,0,0,0
686,0,0,0,0,0
687,56,19,16,480,206
688,66,22,19,478,278
689,66,23,21,480,257
690,59,18,13,475,334
691,59,18,20,474,257
692,68,22,21,470,271
693,59,18,23,474,232
694,74,18,24,474,274
695,62,10,34,474,258
696,68,10,18,474,259
697,66,1,17,476,240
698,0,0,0,0,0
699,66,18,27,474,255
700,74,1,23,476,246
701,0,0,0,0,0
702,74,1,22,478,255
703,71,2,25,474,257
704,71,1,24,476,232
705,80,1,15,471,254
706,78,1,16,470,271
707,76,1,13,471,261
708,74,1,18,475,264
709,53,1,36,466,241
710,62,1,31,470,256
711,71,1,21,475,236
712,71,1,17,471,240
713,66,1,22,475,255
714,74,1,19,476,254
715,74,2,15,474,288
716,66,1,19,476,254
717,74,1,13,471,257
718,68,1,28,478,269
719,71,1,15,471,242
720,56,1,39,478,264
721,56,1,29,471,223
722,68,1,23,476,259
723,56,1,30,471,253
724,68,1,19,471,259
725,71,1,20,478,261
726,68,1,24,476,232
727,66,1,25,480,219
728,56,1,31,476,217
729,66,1,30,480,231
730,62,1,32,480,212
731,68,1,29,480,219
732,68,1,30,480,210
733,59,1,23,476,203
734,0,0,0,0,0
735,0,0,0,0,0
736,56,27,27,478,178
737,56,37,32,480,186
738,56,27,26,478,179
739,53,11,7,457,152
740,56,15,11,453,155
741,62,9,25,476,189
742,59,9,25,476,184
743,56,9,22,476,187
744,56,1,20,476,194
745,53,10,24,480,198
746,0,0,0,0,0
747,0,0,0,0,0
748,0,0,0,0,0
749,0,0,0,0,0
750,0,0,0,0,0
751,0,0,0,0,0
752,0,0,0,0,0
753,0,0,0,0,0
754,53,1,106,480,267
755,0,0,0,0,0
756,56,1,95,480,268
756,56,1,24,462,198
757,0,0,0,0,0
758,56,2,85,480,261
759,0,0,0,0,0
760,66,5,80,480,259
761,62,1,37,471,220
762,68,5,22,480,196
763,56,5,31,480,196
764,0,0,0,0,0
765,0,0,0,0,0
766,0,0,0,0,0
767,53,14,30,480,197
768,0,0,0,0,0
769,59,14,27,480,195
770,56,19,27,480,167
771,56,18,26,477,188
772,53,29,27,480,172
773,59,14,27,480,195
774,56,14,27,480,195
775,59,14,27,480,195
776,62,11,30,480,165
777,66,12,30,480,163
778,59,12,29,480,162
779,53,14,28,480,190
780,59,17,29,480,167
781,0,0,0,0,0
782,53,10,27,480,167
783,56,24,28,480,166
784,53,19,28,480,166
785,53,23,27,480,164
786,59,14,29,480,167
